"","harvestDate","harvester","biosampleNumber","experimentDesign","experimentObservations","strain","genotype","floodmedia","inductionDelay","treatment","timePoint","replicate"
"1","06.06.19","J.PLAGGENBERG",1,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",1,"EtoH",-1,2
"2","06.06.19","J.PLAGGENBERG",2,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",1,"Estradiol",-1,2
"3","06.06.19","J.PLAGGENBERG",3,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",15,"Estradiol",-1,2
"4","06.06.19","J.PLAGGENBERG",4,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",1,"EtoH",-1,2
"5","06.06.19","J.PLAGGENBERG",5,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",1,"Estradiol",-1,2
"6","06.06.19","J.PLAGGENBERG",6,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",15,"Estradiol",-1,2
"7","06.06.19","J.PLAGGENBERG",7,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",1,"EtoH",15,2
"8","06.06.19","J.PLAGGENBERG",8,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",1,"Estradiol",15,2
"9","06.06.19","J.PLAGGENBERG",9,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",15,"Estradiol",15,2
"10","06.06.19","J.PLAGGENBERG",10,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",1,"EtoH",15,2
"11","06.06.19","J.PLAGGENBERG",11,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",1,"Estradiol",15,2
"12","06.06.19","J.PLAGGENBERG",12,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",15,"Estradiol",15,2
"13","06.20.19","J.PLAGGENBERG",1,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",1,"EtoH",-1,3
"14","06.20.19","J.PLAGGENBERG",2,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",1,"Estradiol",-1,3
"15","06.20.19","J.PLAGGENBERG",3,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",15,"Estradiol",-1,3
"16","06.20.19","J.PLAGGENBERG",4,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",1,"EtoH",-1,3
"17","06.20.19","J.PLAGGENBERG",5,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",1,"Estradiol",-1,3
"18","06.20.19","J.PLAGGENBERG",6,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",15,"Estradiol",-1,3
"19","06.20.19","J.PLAGGENBERG",7,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",1,"EtoH",15,3
"20","06.20.19","J.PLAGGENBERG",8,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",1,"Estradiol",15,3
"21","06.20.19","J.PLAGGENBERG",9,"ZEV_flood_media_delay_2",NA,NA,"BY4741","PBS",15,"Estradiol",15,3
"22","06.20.19","J.PLAGGENBERG",10,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",1,"EtoH",15,3
"23","06.20.19","J.PLAGGENBERG",11,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",1,"Estradiol",15,3
"24","06.20.19","J.PLAGGENBERG",12,"ZEV_flood_media_delay_2",NA,NA,"BY4741","SCGal",15,"Estradiol",15,3
"25","07.24.19","J.PLAGGENBERG",1,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"EtoH",-1,1
"26","07.24.19","J.PLAGGENBERG",2,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"EtoH",-1,1
"27","07.24.19","J.PLAGGENBERG",3,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"EtoH",-1,1
"28","07.24.19","J.PLAGGENBERG",4,"ZEV_scgal_media_comparison",NA,NA,"CBF1","PBS",15,"Estradiol",-1,1
"29","07.24.19","J.PLAGGENBERG",5,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGal",15,"Estradiol",-1,1
"30","07.24.19","J.PLAGGENBERG",6,"ZEV_scgal_media_comparison",NA,NA,"CBF1","SCGlu",15,"Estradiol",-1,1
