"","harvestDate","harvester","biosampleNumber","rnaDate","rnaPreparer","rnaSampleNumber","rnaPrepMethod","roboticRNAPrep","RIBOSOMAL_BAND","RIBOSOMAL_BAND_SHAPE","SMALL_RNA_BANDS","RIN"
"1","05.17.19","J.PLAGGENBERG",1,"06.07.19","J.PLAGGENBERG",1,"RiboPure0.25X","no","Y",NA,NA,"6.6"
"2","05.17.19","J.PLAGGENBERG",2,"06.07.19","J.PLAGGENBERG",2,"RiboPure0.25X","no","Y",NA,NA,"6.8"
"3","05.17.19","J.PLAGGENBERG",3,"06.07.19","J.PLAGGENBERG",3,"RiboPure0.25X","no","Y",NA,NA,"6.8"
"4","05.17.19","J.PLAGGENBERG",4,"06.07.19","J.PLAGGENBERG",4,"RiboPure0.25X","no","Y",NA,NA,"6.0"
"5","05.17.19","J.PLAGGENBERG",5,"06.07.19","J.PLAGGENBERG",5,"RiboPure0.25X","no","Y",NA,NA,"6.8"
"6","05.17.19","J.PLAGGENBERG",6,"06.07.19","J.PLAGGENBERG",6,"RiboPure0.25X","no","Y",NA,NA,"6.6"
"7","05.17.19","J.PLAGGENBERG",7,"06.07.19","J.PLAGGENBERG",7,"RiboPure0.25X","no","Y",NA,NA,"6.9"
"8","05.17.19","J.PLAGGENBERG",8,"06.07.19","J.PLAGGENBERG",8,"RiboPure0.25X","no","Y",NA,NA,"6.9"
"9","05.17.19","J.PLAGGENBERG",9,"06.07.19","J.PLAGGENBERG",9,"RiboPure0.25X","no","Y",NA,NA,"7.0"
"10","05.17.19","J.PLAGGENBERG",10,"06.07.19","J.PLAGGENBERG",10,"RiboPure0.25X","no","Y",NA,NA,"6.8"
"11","05.17.19","J.PLAGGENBERG",11,"06.07.19","J.PLAGGENBERG",11,"RiboPure0.25X","no","Y",NA,NA,"6.7"
"12","05.17.19","J.PLAGGENBERG",12,"06.07.19","J.PLAGGENBERG",12,"RiboPure0.25X","no","Y",NA,NA,"NA"
"13","05.17.19","J.PLAGGENBERG",1,"06.10.19","J.PLAGGENBERG",13,"RiboPure0.125X","no","Y",NA,NA,"6.9"
"14","05.17.19","J.PLAGGENBERG",2,"06.10.19","J.PLAGGENBERG",14,"RiboPure0.125X","no","Y",NA,NA,"7.4"
"15","05.17.19","J.PLAGGENBERG",3,"06.10.19","J.PLAGGENBERG",15,"RiboPure0.125X","no","Y",NA,NA,"7.2"
"16","05.17.19","J.PLAGGENBERG",4,"06.10.19","J.PLAGGENBERG",16,"RiboPure0.125X","no","Y",NA,NA,"7.4"
"17","05.17.19","J.PLAGGENBERG",5,"06.10.19","J.PLAGGENBERG",17,"RiboPure0.125X","no","Y",NA,NA,"6.9"
"18","05.17.19","J.PLAGGENBERG",6,"06.10.19","J.PLAGGENBERG",18,"RiboPure0.125X","no","Y",NA,NA,"7.2"
"19","05.17.19","J.PLAGGENBERG",7,"06.10.19","J.PLAGGENBERG",19,"RiboPure0.125X","no","Y",NA,NA,"7.4"
"20","05.17.19","J.PLAGGENBERG",8,"06.10.19","J.PLAGGENBERG",20,"RiboPure0.125X","no","Y",NA,NA,"7.0"
"21","05.17.19","J.PLAGGENBERG",9,"06.10.19","J.PLAGGENBERG",21,"RiboPure0.125X","no","Y",NA,NA,"7.0"
"22","05.17.19","J.PLAGGENBERG",10,"06.10.19","J.PLAGGENBERG",22,"RiboPure0.125X","no","Y",NA,NA,"7.3"
"23","05.17.19","J.PLAGGENBERG",11,"06.10.19","J.PLAGGENBERG",23,"RiboPure0.125X","no","Y",NA,NA,"6.9"
"24","05.17.19","J.PLAGGENBERG",12,"06.10.19","J.PLAGGENBERG",24,"RiboPure0.125X","no","Y",NA,NA,"NA"
"25","05.17.19","J.PLAGGENBERG",1,"06.10.19","J.PLAGGENBERG",25,"DirectZol","no","Y",NA,NA,"2.6"
"26","05.17.19","J.PLAGGENBERG",2,"06.10.19","J.PLAGGENBERG",26,"DirectZol","no","N",NA,NA,"2.5"
"27","05.17.19","J.PLAGGENBERG",3,"06.10.19","J.PLAGGENBERG",27,"DirectZol","no","Y",NA,NA,"2.6"
"28","05.17.19","J.PLAGGENBERG",4,"06.10.19","J.PLAGGENBERG",28,"DirectZol","no","Y",NA,NA,"10.0"
"29","05.17.19","J.PLAGGENBERG",5,"06.10.19","J.PLAGGENBERG",29,"DirectZol","no","Y",NA,NA,"2.6"
"30","05.17.19","J.PLAGGENBERG",6,"06.10.19","J.PLAGGENBERG",30,"DirectZol","no","Y",NA,NA,"2.6"
"31","05.17.19","J.PLAGGENBERG",7,"06.10.19","J.PLAGGENBERG",31,"DirectZol","no","Y",NA,NA,"2.1"
"32","05.17.19","J.PLAGGENBERG",8,"06.10.19","J.PLAGGENBERG",32,"DirectZol","no","Y",NA,NA,"NA"
"33","05.17.19","J.PLAGGENBERG",9,"06.10.19","J.PLAGGENBERG",33,"DirectZol","no","Y",NA,NA,"3.8"
"34","05.17.19","J.PLAGGENBERG",10,"06.10.19","J.PLAGGENBERG",34,"DirectZol","no","Y",NA,NA,"2.5"
"35","05.17.19","J.PLAGGENBERG",11,"06.10.19","J.PLAGGENBERG",35,"DirectZol","no","Y",NA,NA,"NA"
"36","05.17.19","J.PLAGGENBERG",12,"06.10.19","J.PLAGGENBERG",36,"DirectZol","no","Y",NA,NA,"NA"
"37","06.20.19","J.PLAGGENBERG",1,"06.21.19","J.PLAGGENBERG",1,"DirectZol","No","N","NA","N","2.4"
"38","06.20.19","J.PLAGGENBERG",2,"06.21.19","J.PLAGGENBERG",2,"DirectZol","No","N","NA","N","6.0"
"39","06.20.19","J.PLAGGENBERG",3,"06.21.19","J.PLAGGENBERG",3,"DirectZol","No","N","NA","N","2.4"
"40","06.20.19","J.PLAGGENBERG",4,"06.21.19","J.PLAGGENBERG",4,"DirectZol","No","N","NA","N","2.4"
"41","06.20.19","J.PLAGGENBERG",5,"06.21.19","J.PLAGGENBERG",5,"DirectZol","No","N","NA","N","7.7"
"42","06.20.19","J.PLAGGENBERG",6,"06.21.19","J.PLAGGENBERG",6,"DirectZol","No","N","NA","N","2.3"
"43","06.20.19","J.PLAGGENBERG",7,"06.21.19","J.PLAGGENBERG",7,"DirectZol","No","N","NA","N","2.6"
"44","06.20.19","J.PLAGGENBERG",8,"06.21.19","J.PLAGGENBERG",8,"DirectZol","No","N","NA","N","2.4"
"45","06.20.19","J.PLAGGENBERG",9,"06.21.19","J.PLAGGENBERG",9,"DirectZol","No","N","NA","N","8.3"
"46","06.20.19","J.PLAGGENBERG",10,"06.21.19","J.PLAGGENBERG",10,"DirectZol","No","N","NA","N","7.2"
"47","06.20.19","J.PLAGGENBERG",11,"06.21.19","J.PLAGGENBERG",11,"DirectZol","No","N","NA","N","2.9"
"48","06.20.19","J.PLAGGENBERG",12,"06.21.19","J.PLAGGENBERG",12,"DirectZol","No","N","NA","N","NA"
"49","06.20.19","J.PLAGGENBERG",1,"06.24.19","J.PLAGGENBERG",13,"RiboPure0.125X","No","Y","smile","Y","9.7"
"50","06.20.19","J.PLAGGENBERG",2,"06.24.19","J.PLAGGENBERG",14,"RiboPure0.125X","No","Y","smile","Y","9.8"
"51","06.20.19","J.PLAGGENBERG",3,"06.24.19","J.PLAGGENBERG",15,"RiboPure0.125X","No","Y","smile","Y","6.8"
"52","06.20.19","J.PLAGGENBERG",4,"06.24.19","J.PLAGGENBERG",16,"RiboPure0.125X","No","Y","smile","Y","6.8"
"53","06.20.19","J.PLAGGENBERG",5,"06.24.19","J.PLAGGENBERG",17,"RiboPure0.125X","No","Y","smile","Y","6.8"
"54","06.20.19","J.PLAGGENBERG",6,"06.24.19","J.PLAGGENBERG",18,"RiboPure0.125X","No","Y","smile","Y","6.9"
"55","06.20.19","J.PLAGGENBERG",7,"06.24.19","J.PLAGGENBERG",19,"RiboPure0.125X","No","Y","straight","Y","8.3"
"56","06.20.19","J.PLAGGENBERG",8,"06.24.19","J.PLAGGENBERG",20,"RiboPure0.125X","No","Y","smile","Y","6.7"
"57","06.20.19","J.PLAGGENBERG",9,"06.24.19","J.PLAGGENBERG",21,"RiboPure0.125X","No","Y","smile","Y","6.8"
