"","rnaDate","rnaPreparer","rnaSampleNumber","s1cDNADate","s1cDNAPreparer","s1cDNASampleNumber","polyAIsolationProtocol","s1Protocol","roboticS1Prep","s1PrimerSeq"
"1","05.29.19","J.PLAGGENBERG",1,"05.31.19","J.PLAGGENBERG",1,"NEBNextPoly(A)E7490","E7760","No","random"
"2","05.29.19","J.PLAGGENBERG",2,"05.31.19","J.PLAGGENBERG",2,"NEBNextPoly(A)E7490","E7760","No","random"
"3","05.29.19","J.PLAGGENBERG",3,"05.31.19","J.PLAGGENBERG",3,"NEBNextPoly(A)E7490","E7760","No","random"
"4","05.29.19","J.PLAGGENBERG",4,"05.31.19","J.PLAGGENBERG",4,"NEBNextPoly(A)E7490","E7760","No","random"
"5","05.29.19","J.PLAGGENBERG",5,"05.31.19","J.PLAGGENBERG",5,"NEBNextPoly(A)E7490","E7760","No","random"
"6","05.29.19","J.PLAGGENBERG",6,"05.31.19","J.PLAGGENBERG",6,"NEBNextPoly(A)E7490","E7760","No","random"
"7","05.29.19","J.PLAGGENBERG",7,"05.31.19","J.PLAGGENBERG",7,"NEBNextPoly(A)E7490","E7760","No","random"
"8","05.29.19","J.PLAGGENBERG",8,"05.31.19","J.PLAGGENBERG",8,"NEBNextPoly(A)E7490","E7760","No","random"
"9","05.29.19","J.PLAGGENBERG",9,"05.31.19","J.PLAGGENBERG",9,"NEBNextPoly(A)E7490","E7760","No","random"
"10","05.29.19","J.PLAGGENBERG",10,"05.31.19","J.PLAGGENBERG",10,"NEBNextPoly(A)E7490","E7760","No","random"
"11","05.29.19","J.PLAGGENBERG",11,"05.31.19","J.PLAGGENBERG",11,"NEBNextPoly(A)E7490","E7760","No","random"
"12","05.29.19","J.PLAGGENBERG",12,"05.31.19","J.PLAGGENBERG",12,"NEBNextPoly(A)E7490","E7760","No","random"
"13","05.29.19","J.PLAGGENBERG",13,"05.31.19","J.PLAGGENBERG",13,"NEBNextPoly(A)E7490","E7760","No","random"
"14","05.29.19","J.PLAGGENBERG",14,"05.31.19","J.PLAGGENBERG",14,"NEBNextPoly(A)E7490","E7760","No","random"
"15","05.29.19","J.PLAGGENBERG",15,"05.31.19","J.PLAGGENBERG",15,"NEBNextPoly(A)E7490","E7760","No","random"
"16","05.29.19","J.PLAGGENBERG",16,"05.31.19","J.PLAGGENBERG",16,"NEBNextPoly(A)E7490","E7760","No","random"
"17","05.29.19","J.PLAGGENBERG",17,"05.31.19","J.PLAGGENBERG",17,"NEBNextPoly(A)E7490","E7760","No","random"
"18","05.29.19","J.PLAGGENBERG",18,"05.31.19","J.PLAGGENBERG",18,"NEBNextPoly(A)E7490","E7760","No","random"
"19","05.29.19","J.PLAGGENBERG",19,"05.31.19","J.PLAGGENBERG",19,"NEBNextPoly(A)E7490","E7760","No","random"
"20","05.29.19","J.PLAGGENBERG",20,"05.31.19","J.PLAGGENBERG",20,"NEBNextPoly(A)E7490","E7760","No","random"
"21","05.29.19","J.PLAGGENBERG",21,"05.31.19","J.PLAGGENBERG",21,"NEBNextPoly(A)E7490","E7760","No","random"
"22","05.29.19","J.PLAGGENBERG",22,"05.31.19","J.PLAGGENBERG",22,"NEBNextPoly(A)E7490","E7760","No","random"
"23","05.29.19","J.PLAGGENBERG",23,"05.31.19","J.PLAGGENBERG",23,"NEBNextPoly(A)E7490","E7760","No","random"
"24","05.29.19","J.PLAGGENBERG",24,"05.31.19","J.PLAGGENBERG",24,"NEBNextPoly(A)E7490","E7760","No","random"
"25","05.29.19","J.PLAGGENBERG",25,"05.31.19","J.PLAGGENBERG",25,"NEBNextPoly(A)E7490","E7760","No","random"
"26","05.29.19","J.PLAGGENBERG",26,"05.31.19","J.PLAGGENBERG",26,"NEBNextPoly(A)E7490","E7760","No","random"
"27","05.29.19","J.PLAGGENBERG",27,"05.31.19","J.PLAGGENBERG",27,"NEBNextPoly(A)E7490","E7760","No","random"
"28","05.29.19","J.PLAGGENBERG",28,"05.31.19","J.PLAGGENBERG",28,"NEBNextPoly(A)E7490","E7760","No","random"
"29","05.29.19","J.PLAGGENBERG",29,"05.31.19","J.PLAGGENBERG",29,"NEBNextPoly(A)E7490","E7760","No","random"
"30","05.29.19","J.PLAGGENBERG",30,"05.31.19","J.PLAGGENBERG",30,"NEBNextPoly(A)E7490","E7760","No","random"
"31","05.29.19","J.PLAGGENBERG",31,"05.31.19","J.PLAGGENBERG",31,"NEBNextPoly(A)E7490","E7760","No","random"
"32","05.29.19","J.PLAGGENBERG",32,"05.31.19","J.PLAGGENBERG",32,"NEBNextPoly(A)E7490","E7760","No","random"
