"","s1cDNADate","s1cDNAPreparer","s1cDNASampleNumber","s2cDNADate","s2cDNAPreparer","s2cDNASampleNumber","s2cDNAProtocol","roboticS2Prep"
"1","05.31.19","J.PLAGGENBERG",1,"05.31.19","J.PLAGGENBERG",1,"E7760","No"
"2","05.31.19","J.PLAGGENBERG",2,"05.31.19","J.PLAGGENBERG",2,"E7760","No"
"3","05.31.19","J.PLAGGENBERG",3,"05.31.19","J.PLAGGENBERG",3,"E7760","No"
"4","05.31.19","J.PLAGGENBERG",4,"05.31.19","J.PLAGGENBERG",4,"E7760","No"
"5","05.31.19","J.PLAGGENBERG",5,"05.31.19","J.PLAGGENBERG",5,"E7760","No"
"6","05.31.19","J.PLAGGENBERG",6,"05.31.19","J.PLAGGENBERG",6,"E7760","No"
"7","05.31.19","J.PLAGGENBERG",7,"05.31.19","J.PLAGGENBERG",7,"E7760","No"
"8","05.31.19","J.PLAGGENBERG",8,"05.31.19","J.PLAGGENBERG",8,"E7760","No"
"9","05.31.19","J.PLAGGENBERG",9,"05.31.19","J.PLAGGENBERG",9,"E7760","No"
"10","05.31.19","J.PLAGGENBERG",10,"05.31.19","J.PLAGGENBERG",10,"E7760","No"
"11","05.31.19","J.PLAGGENBERG",11,"05.31.19","J.PLAGGENBERG",11,"E7760","No"
"12","05.31.19","J.PLAGGENBERG",12,"05.31.19","J.PLAGGENBERG",12,"E7760","No"
"13","05.31.19","J.PLAGGENBERG",13,"05.31.19","J.PLAGGENBERG",13,"E7760","No"
"14","05.31.19","J.PLAGGENBERG",14,"05.31.19","J.PLAGGENBERG",14,"E7760","No"
"15","05.31.19","J.PLAGGENBERG",15,"05.31.19","J.PLAGGENBERG",15,"E7760","No"
"16","05.31.19","J.PLAGGENBERG",16,"05.31.19","J.PLAGGENBERG",16,"E7760","No"
"17","05.31.19","J.PLAGGENBERG",17,"05.31.19","J.PLAGGENBERG",17,"E7760","No"
"18","05.31.19","J.PLAGGENBERG",18,"05.31.19","J.PLAGGENBERG",18,"E7760","No"
"19","05.31.19","J.PLAGGENBERG",19,"05.31.19","J.PLAGGENBERG",19,"E7760","No"
"20","05.31.19","J.PLAGGENBERG",20,"05.31.19","J.PLAGGENBERG",20,"E7760","No"
"21","05.31.19","J.PLAGGENBERG",21,"05.31.19","J.PLAGGENBERG",21,"E7760","No"
"22","05.31.19","J.PLAGGENBERG",22,"05.31.19","J.PLAGGENBERG",22,"E7760","No"
"23","05.31.19","J.PLAGGENBERG",23,"05.31.19","J.PLAGGENBERG",23,"E7760","No"
"24","05.31.19","J.PLAGGENBERG",24,"05.31.19","J.PLAGGENBERG",24,"E7760","No"
"25","05.31.19","J.PLAGGENBERG",25,"05.31.19","J.PLAGGENBERG",25,"E7760","No"
"26","05.31.19","J.PLAGGENBERG",26,"05.31.19","J.PLAGGENBERG",26,"E7760","No"
"27","05.31.19","J.PLAGGENBERG",27,"05.31.19","J.PLAGGENBERG",27,"E7760","No"
"28","05.31.19","J.PLAGGENBERG",28,"05.31.19","J.PLAGGENBERG",28,"E7760","No"
"29","05.31.19","J.PLAGGENBERG",29,"05.31.19","J.PLAGGENBERG",29,"E7760","No"
"30","05.31.19","J.PLAGGENBERG",30,"05.31.19","J.PLAGGENBERG",30,"E7760","No"
"31","05.31.19","J.PLAGGENBERG",31,"05.31.19","J.PLAGGENBERG",31,"E7760","No"
"32","05.31.19","J.PLAGGENBERG",32,"05.31.19","J.PLAGGENBERG",32,"E7760","No"
"33","05.31.19","J.PLAGGENBERG",33,"05.31.19","J.PLAGGENBERG",33,"E7760","No"
"34","05.31.19","J.PLAGGENBERG",34,"05.31.19","J.PLAGGENBERG",34,"E7760","No"
"35","05.31.19","J.PLAGGENBERG",35,"05.31.19","J.PLAGGENBERG",35,"E7760","No"
"36","05.31.19","J.PLAGGENBERG",36,"05.31.19","J.PLAGGENBERG",36,"E7760","No"
"37","06.14.19","J.PLAGGENBERG",1,"06.14.19","J.PLAGGENBERG",1,"E7760","No"
"38","06.14.19","J.PLAGGENBERG",2,"06.14.19","J.PLAGGENBERG",2,"E7760","No"
"39","06.14.19","J.PLAGGENBERG",3,"06.14.19","J.PLAGGENBERG",3,"E7760","No"
"40","06.14.19","J.PLAGGENBERG",4,"06.14.19","J.PLAGGENBERG",4,"E7760","No"
"41","06.14.19","J.PLAGGENBERG",5,"06.14.19","J.PLAGGENBERG",5,"E7760","No"
"42","06.14.19","J.PLAGGENBERG",6,"06.14.19","J.PLAGGENBERG",6,"E7760","No"
"43","06.14.19","J.PLAGGENBERG",7,"06.14.19","J.PLAGGENBERG",7,"E7760","No"
"44","06.14.19","J.PLAGGENBERG",8,"06.14.19","J.PLAGGENBERG",8,"E7760","No"
